MoviesId	GenresId
1	1
1	2
1	10
2	5
2	8
2	13
3	8
3	12
3	15
4	4
4	8
4	14
5	3
5	5
5	9
6	12
6	15
6	19
7	5
7	6
7	8
8	6
8	8
9	4
9	8
9	11
10	5
10	8
10	17
11	8
11	16
12	1
12	5
12	10
13	1
13	2
14	1
14	2
14	10
15	8
15	12
15	17
16	8
16	16
17	4
17	8
17	14
18	1
18	2
18	15
19	4
19	8
19	19
20	1
20	2
20	10
21	2
21	9
21	10
22	3
22	1
22	2
23	6
23	15
23	19
24	5
24	8
24	20
25	8
25	13
26	1
26	8
26	17
27	1
27	6
27	8
28	1
28	2
28	8
29	6
29	8
29	19
30	1
30	2
30	17
31	1
31	2
31	17
32	1
32	17
33	2
33	5
33	17
34	12
34	19
